signal,rank_band,stage,advanced
Says_advance,R26_50,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,R26_50,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,R51_plus,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,R26_50,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,no
Says_advance,R26_50,Group_to_R32,no
Says_out,R26_50,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_advance,R26_50,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,no
Says_advance,R11_25,Group_to_R32,no
Says_out,R51_plus,Group_to_R32,no
Says_advance,R26_50,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,no
Says_advance,R11_25,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,no
Says_advance,R26_50,Group_to_R32,yes
Says_out,R26_50,Group_to_R32,no
Says_advance,R26_50,Group_to_R32,yes
Says_advance,Top10,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,no
Says_out,R51_plus,Group_to_R32,no
Says_advance,R26_50,Group_to_R32,no
Says_advance,R11_25,Group_to_R32,yes
Says_out,R51_plus,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,no
Says_advance,Top10,Group_to_R32,yes
Says_advance,R26_50,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,yes
Says_out,R26_50,Group_to_R32,no
Says_advance,R11_25,Group_to_R32,no
Says_advance,R11_25,Group_to_R32,yes
Says_advance,R11_25,Group_to_R32,no
Says_out,R26_50,Group_to_R32,no
Says_out,R51_plus,R32_to_R16,no
Says_advance,R26_50,R32_to_R16,yes
Says_advance,Top10,R32_to_R16,yes
Says_out,R11_25,R32_to_R16,no
Says_advance,Top10,R32_to_R16,no
Says_out,R26_50,R32_to_R16,yes
Says_advance,Top10,R32_to_R16,no
Says_out,Top10,R32_to_R16,yes
Says_out,R26_50,R32_to_R16,no
Says_advance,R26_50,R32_to_R16,yes
Says_advance,Top10,R32_to_R16,yes
Says_out,R26_50,R32_to_R16,no
Says_advance,R11_25,R32_to_R16,yes
Says_out,R11_25,R32_to_R16,no
Says_advance,Top10,R32_to_R16,yes
Says_out,R26_50,R32_to_R16,no
Says_advance,Top10,R32_to_R16,yes
Says_out,R11_25,R32_to_R16,no
Says_advance,R11_25,R32_to_R16,yes
Says_out,R51_plus,R32_to_R16,no
Says_advance,Top10,R32_to_R16,yes
Says_out,R11_25,R32_to_R16,no
Says_advance,Top10,R32_to_R16,yes
Says_advance,R11_25,R32_to_R16,no
Says_advance,R11_25,R32_to_R16,yes
Says_out,R26_50,R32_to_R16,no
Says_out,R26_50,R32_to_R16,no
Says_out,R26_50,R32_to_R16,yes
Says_advance,Top10,R32_to_R16,yes
Says_out,R51_plus,R32_to_R16,no
Says_advance,R11_25,R32_to_R16,yes
Says_out,R51_plus,R32_to_R16,no
Says_out,R26_50,R16_to_QF,no
Says_advance,Top10,R16_to_QF,yes
Says_out,R26_50,R16_to_QF,no
Says_advance,Top10,R16_to_QF,yes
Says_advance,Top10,R16_to_QF,no
Says_advance,R26_50,R16_to_QF,yes
Says_out,R11_25,R16_to_QF,no
Says_advance,Top10,R16_to_QF,yes
Says_advance,Top10,R16_to_QF,no
Says_advance,Top10,R16_to_QF,yes
Says_out,R11_25,R16_to_QF,no
Says_advance,Top10,R16_to_QF,yes
Says_advance,Top10,R16_to_QF,yes
Says_out,R26_50,R16_to_QF,no
Says_out,R11_25,R16_to_QF,yes
Says_out,R11_25,R16_to_QF,no
Says_out,Top10,QF_to_SF,no
Says_advance,Top10,QF_to_SF,yes
Says_advance,R26_50,QF_to_SF,no
Says_advance,Top10,QF_to_SF,yes
Says_advance,Top10,QF_to_SF,yes
Says_out,Top10,QF_to_SF,no
Says_advance,Top10,QF_to_SF,yes
Says_out,R11_25,QF_to_SF,no
Says_advance,Top10,SF_to_Final,no
Says_advance,Top10,SF_to_Final,yes
Says_advance,Top10,SF_to_Final,no
Says_advance,Top10,SF_to_Final,yes
