 Week , Date    , Lecture Topics                                                   ,Homework  assigned , Assignments Due                             ,Rrequired readings. Numbers refer to Coursenotes sections,FODA chapter,Additional readings
1,22-Jun," Why Decision Analysis, Course Introduction, What is a Decision, ""Thumbtack"" deal      ",,"preclass [this TED talk](https://www.youtube.com/watch?v=-gqNOmdvwiI), in class background survey","Intro to decision making: https://www.youtube.com/watch?v=nhDu4ggO0UE, **Origins of the name DA**",,
"https://www.youtube.com/watch?v=rwSQqzW3Rak""","Ch1, 2.1, 2.2","R. Howard ""The Evolution of Decision Analysis"" (1983) RODA P.1-16.",,,,,
      ,24-Jun," Deal resolution, - Decision terminolgy, ""Clarity of Action"" ",HW1,                                             ,1.1 Possibilities and Probabilities - 1.1.15,,
"Intro into DQ: https://www.youtube.com/watch?v=vL6uiALEdkk""","ch 2.3, ch37, ch 38",,,,,,
2,29-Jun," Variables, distinctions, decision tables and trees               ",," HW1, Elicitation exercise                        ",,ch 5,
      ,1-Jul," Personal Probability: Measures, Belief, Tree Reversal, Causality                  ",HW2,                                             ,"1.1.16 Measures, 1.2 Probabiities - 1.2.4.2, 1.2.8 Probability Trees,","ch 6,  ch 15","""heckerthoughts""  2.1 Inevitability of probability"
3,6-Jul, Decisions & Values - Influence Diagrams            ,," HW2, Team project proposal                       ","1.2.12 Measures, R. Shachter, ""Evaluating Influence Diagrams"". ",,"""Heckerthoughts,"" 3.2 Influence Diagrams and fully causal models. "
      ,8-Jul," Principles of Choice, ""Actional Thought""                         ",HW3,                                             ,"2 Rules of Actional Thought, 3.1.8 - 3.1.9 E-value",ch 8,"""Heckerthoughts""  3 Decision making and causal reasoning"
4,13-Jul," ""The Party Problem"" 1            ",,"HW3, ","1.2.4.4, 1.2.9  The Relevance Diagram, 3.1- 3.1.12 The Party Problem, 6.1.8 Decision Diagrams","ch 9, ch 14, ch 10","""Heckerthoughts"", 2.2 Independence and graphical models.,  ? Bayes nets - ""Bayes ball""? "
      ,15-Jul," ""The Party Problem"" 2                                            ",HW4,                                             ,"3 The Party Problem, continued. ","ch 12,  ch 13",
5,20-Jul," Evidence, Bayes rule                                             ",,HW4,6.1 Basic Information Gathering,,
      ,22-Jul, VOI                                                              ,HW5, Midterm                                     ,3.1.13-3.1.16 Valuing Clairvoyance,ch 18,"R. Howard ""Information Value Theory""( 1966)  IEEE Trans. On SSC, Vol SSC-2, No.1, p.22-26.  Also RODA p 779-783."
6,27-Jul," Predictions from data, Entropy approximations                    ",,HW5,Instructor's notes on the topic,,Selected UAI article
      ,29-Jul," Risk preference and biases ""The Party Problem"" 3                 ",HW6, Draft project submission                    ,"4.1 Wealth Risk Attitude, 4.2 Delta Property, 4.3 Risk Odds",ch 11,
7,3-Aug," Small probabilities, Micro morts , value tradeoffs                            ",,HW6,"""On Fates Comparable to Death(1984)"" ""on Making Life and Death Decisions (1980), p.483 RODA"", (Spiegelhalter)","ch 34, ch 26-28",
      ,5-Aug," Real options, flexibility                                        ",HW7,                                             ,,ch 19,Selected article
8,10-Aug, Decision Analysis practice - possibly an invited speaker.        ,,HW7,(selected  papers),,"R. howard ""An Assessment of Decision Analysis"" (1980) Operations Research Vol. 28, No. 1.  Also RODA p. 177"
      ,12-Aug," Decision Quality, rationality, ethics                            ",," Final project, due by end of finals period. ","(Spetzler youtube, Kover book intro)","ch 1.8, ch 40",
